School Name,Latitude,Longitude,Address,Phone,Programs,Data Programs,school_id,Data Grades,URL,School Name,Email,"Grade, Enrollment, Admin Info",Programs Info,Tabbed Panel Content,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total Enrollment,Notices,School Text,Grades Offered,Ward,Area,Total Enrollment (Admin),School Principal,Trustee,Education Director
Terrace Road School,51.0744734,-114.1588185,"2103 46 St NW Calgary, AB T3B 1B3",403-777-6080,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",21,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=21,Terrace Road School,TerraceRoad@cbe.ab.ca,GRADESK-6WARD7AREA1TOTAL ENROLLMENT (As of Sept. 30)185SCHOOL PRINCIPALDaniel BuchananTRUSTEEPatricia BolgerEDUCATION DIRECTORKevin Howell,PROGRAMSRegular," | Kindergarten23Grade 125Grade 235Grade 319Grade 431Grade 523Grade 629 | We are the Terrace Road School Tigers!- We respect ourselves, each other and our environment.- Academic learning is deeply focused on literacy and numeracy.- Our Learning Commons is a lively, resource-rich learning environment- A Paced Learning Program is in our school for students in grades 4, 5 and 6.- We offer a breakfast program for students who require nutritional support.- We have a 4 day lunch program.- Summit Kids provides before and after school care.- University Heights Preschool is located in our school.",23,25,35,19,31,23,29,0,0,0,0,0,0,185,,"We are the Terrace Road School Tigers!- We respect ourselves, each other and our environment.- Academic learning is deeply focused on literacy and numeracy.- Our Learning Commons is a lively, resource-rich learning environment- A Paced Learning Program is in our school for students in grades 4, 5 and 6.- We offer a breakfast program for students who require nutritional support.- We have a 4 day lunch program.- Summit Kids provides before and after school care.- University Heights Preschool is located in our school.",K-6,7,1,185,Daniel Buchanan,Patricia Bolger,Kevin Howell
Westgate School,51.0444893,-114.1592173,"150 Westminster Dr SW Calgary, AB T3C 2T3",403-777-8420,"Early French Immersion (K-6) (Grades: ,0,1,2,3,4,5,6,)",",3,",22,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=22,Westgate School,Westgate@cbe.ab.ca,GRADESK-6WARD6AREA7TOTAL ENROLLMENT (As of Sept. 30)601SCHOOL PRINCIPALJulie MuhlbergerTRUSTEEPatricia BolgerEDUCATION DIRECTORDavid Dyck,PROGRAMSEarly French Immersion,"Apr. 19, 2018 | Reminder Notice Regarding Grade Expansion for French Immersion at Westgate School | Kindergarten78Grade 196Grade 281Grade 381Grade 499Grade 583Grade 683 | • Westgate is a French Immersion school. We offer extensive French language learning opportunities to our students and aim to provide students with rich bilingual and multicultural learning opportunities.• We are committed to recognizing the uniqueness of each of our learners and providing personalized instruction to meet their needs. Teachers strive to provide rich and meaningful learning tasks that are engaging for students.• Our students are global citizens engaged in initiatives to improve the school community and the world.• There is a strong culture of caring.  Students and their parents consistently tell us they feel a strong sense of community and belonging when they are here.•  Our music program is highly valued.  We offer music classes instructed by specialist teachers three times a week. Our Parent Society supports choir and guitar clubs in the school.• Technology is integrated into the day to day work of our students.• We offer a variety of clubs at lunch and after school. Our Parent Society sponsors a Grade 3/4 Science Club and First Lego Leagues Robotics.  Our Grade 5 and 6 students participate in the Calgary Youth Science Fair.",78,96,81,81,99,83,83,0,0,0,0,0,0,601,"Apr. 19, 2018 | Reminder Notice Regarding Grade Expansion for French Immersion at Westgate School | Kindergarten78Grade 196Grade 281Grade 381Grade 499Grade 583Grade 683 | • Westgate is a French Immersion school. We offer extensive French language learning opportunities to our students and aim to provide students with rich bilingual and multicultural learning opportunities.• We are committed to recognizing the uniqueness of each of our learners and providing personalized instruction to meet their needs. Teachers strive to provide rich and meaningful learning tasks that are engaging for students.• Our students are global citizens engaged in initiatives to improve the school community and the world.• There is a strong culture of caring.  Students and their parents consistently tell us they feel a strong sense of community and belonging when they are here.•  Our music program is highly valued.  We offer music classes instructed by specialist teachers three times a week. Our Parent Society supports choir and guitar clubs in the school.• Technology is integrated into the day to day work of our students.• We offer a variety of clubs at lunch and after school. Our Parent Society sponsors a Grade 3/4 Science Club and First Lego Leagues Robotics.  Our Grade 5 and 6 students participate in the Calgary Youth Science Fair.",,K-6,6,7,601,Julie Muhlberger,Patricia Bolger,David Dyck
Wildwood School,51.0516096,-114.1521339,"120 45  Street SW Calgary, AB T3C 2B3",403-777-8430,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",23,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=23,Wildwood School,Wildwood@cbe.ab.ca,GRADESK-6WARD6AREA7TOTAL ENROLLMENT (As of Sept. 30)445SCHOOL PRINCIPALErica RaeTRUSTEEPatricia BolgerEDUCATION DIRECTORGarry Tink,PROGRAMSRegular,"Sept. 14, 2023 | Update to Overflow School Designation for New Connaught School Kindergarten to Grade 6 StudentsMay 21, 2021 | Closure of Rosscarrock SchoolApr. 5, 2018 | Important Changes for Students at Wildwood School | Kindergarten52Grade 165Grade 270Grade 372Grade 459Grade 571Grade 656 | Wildwood School proudly serves the students and families of Wildwood, Spruce Cliff, Westgate, Shaganappi and parts of Rosscarrock. We value learning and relationships.",52,65,70,72,59,71,56,0,0,0,0,0,0,445,"Sept. 14, 2023 | Update to Overflow School Designation for New Connaught School Kindergarten to Grade 6 StudentsMay 21, 2021 | Closure of Rosscarrock SchoolApr. 5, 2018 | Important Changes for Students at Wildwood School | Kindergarten52Grade 165Grade 270Grade 372Grade 459Grade 571Grade 656 | Wildwood School proudly serves the students and families of Wildwood, Spruce Cliff, Westgate, Shaganappi and parts of Rosscarrock. We value learning and relationships.",,K-6,6,7,445,Erica Rae,Patricia Bolger,Garry Tink
William Reid School,51.0221049,-114.0903466,"1216 36 Ave SW Calgary, AB T2T 2E9",403-777-6940,"Early French Immersion (K-4) (Grades: ,0,1,2,3,4,)",",3,",24,",0,1,2,3,4,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=24,William Reid School,WilliamReid@cbe.ab.ca,GRADESK-4WARD8AREA7TOTAL ENROLLMENT (As of Sept. 30)305SCHOOL PRINCIPALChristine StilesTRUSTEESusan VukadinovicEDUCATION DIRECTORDavid Dyck,PROGRAMSEarly French Immersion,"Learn more about the lottery process for schools at capacity. | Kindergarten51Grade 163Grade 276Grade 358Grade 457 | -We understand that by working on our school culture together we ensure an environment in which children are safe and meaningfully engaged.- We have a French Music Specialist and a French PE teacher for all of our students K - 4.- We have a very supportive School Council, committed to enhancing and enriching student learning.  They also support our extra-curricular activities, clubs and annual artistic residencies and ice castle.- We have a beautiful outdoor naturalization area with a stone amphitheater that provides outdoor hands-on learning.- We have a brand new playground for all students and our community to enjoy.- We are technologically enriched with 60 Ipads, 45 desktop computers, 60 Chrome Books, a class set of Ipods and cameras, Senteos and Smartboards.- We have a large library and learning commons for engaging learners.- Our librarian and teachers are committed to ensuring students love reading.- S.E.E.D.S. of Spice runs a before and after school care program in the school.",51,63,76,58,57,0,0,0,0,0,0,0,0,305,,"Learn more about the lottery process for schools at capacity.  -We understand that by working on our school culture together we ensure an environment in which children are safe and meaningfully engaged.- We have a French Music Specialist and a French PE teacher for all of our students K - 4.- We have a very supportive School Council, committed to enhancing and enriching student learning.  They also support our extra-curricular activities, clubs and annual artistic residencies and ice castle.- We have a beautiful outdoor naturalization area with a stone amphitheater that provides outdoor hands-on learning.- We have a brand new playground for all students and our community to enjoy.- We are technologically enriched with 60 Ipads, 45 desktop computers, 60 Chrome Books, a class set of Ipods and cameras, Senteos and Smartboards.- We have a large library and learning commons for engaging learners.- Our librarian and teachers are committed to ensuring students love reading.- S.E.E.D.S. of Spice runs a before and after school care program in the school.",K-4,8,7,305,Christine Stiles,Susan Vukadinovic,David Dyck
Glendale School,51.0323393,-114.1455988,"2415 Kelwood Dr SW Calgary, AB T3E 3Z8",403-777-8330,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",25,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=25,Glendale School,Glendale@cbe.ab.ca,GRADESK-6WARD6AREA7TOTAL ENROLLMENT (As of Sept. 30)259SCHOOL PRINCIPALJamie-Dee PetersonTRUSTEEPatricia BolgerEDUCATION DIRECTORGarry Tink,PROGRAMSRegular,"May 21, 2021 | Closure of Rosscarrock SchoolApr. 5, 2018 | New Attendance Area for Glendale School | Kindergarten34Grade 135Grade 241Grade 335Grade 445Grade 528Grade 641 | - Supports teaching and learning curricular material through inquiry-based learning and technology infusion.- A strong community of learners where students and teachers work cooperatively and collaboratively.- School council and a parent volunteer group who support inquiry-based learning, robotics, technology infusion, fine arts programming, and literacy development in the school.- Supports the fine arts with a teacher specialist in Music.- Supervised CBE lunchroom program and before and after school care.- Provides daily physical education classes and promotes healthy active living- Environmental projects that maintain an outdoor classroom, recycling, and composting.",34,35,41,35,45,28,41,0,0,0,0,0,0,259,"Apr. 5, 2018 | New Attendance Area for Glendale School | Kindergarten34Grade 135Grade 241Grade 335Grade 445Grade 528Grade 641 | - Supports teaching and learning curricular material through inquiry-based learning and technology infusion.- A strong community of learners where students and teachers work cooperatively and collaboratively.- School council and a parent volunteer group who support inquiry-based learning, robotics, technology infusion, fine arts programming, and literacy development in the school.- Supports the fine arts with a teacher specialist in Music.- Supervised CBE lunchroom program and before and after school care.- Provides daily physical education classes and promotes healthy active living- Environmental projects that maintain an outdoor classroom, recycling, and composting.","May 21, 2021 | Closure of Rosscarrock School",K-6,6,7,259,Jamie-Dee Peterson,Patricia Bolger,Garry Tink
Banff Trail School,51.0814133,-114.1167883,"3232 Cochrane Rd NW Calgary, AB T2M 4J3",403-777-6120,"Early French Immersion (K-5) (Grades: ,0,1,2,3,4,5,)",",3,",26,",0,1,2,3,4,5,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=26,Banff Trail School,BanffTrail@cbe.ab.ca,GRADESK-5WARD4AREA2TOTAL ENROLLMENT (As of Sept. 30)369SCHOOL PRINCIPALRyan TurnerTRUSTEELaura HackEDUCATION DIRECTORMartine Sawatzky,PROGRAMSEarly French Immersion,"Learn more about the lottery process for schools at capacity. | Kindergarten63Grade 174Grade 262Grade 360Grade 460Grade 550 | - Priority placed on learning in a French-language, culture-rich environment.- Use of a specialist to apply Intensive French strategies to lessons, including the Neuro-linguistic Approach (NLA).- Music is taught by a specialist.- Iris School, students have a personalized digital learning plan which can be accessed by parents.- Very active school council and parents' involvement in the school.- Division II leadership group.- Lunchtime clubs normally include such options as choir, art, drama, intramurals and Dance.- Fun Lunches normally organized by parents once a month.- Kids Come First, a non-profit before and after school care program is located in our building.- Cultural shows/activities, musical productions in both languages to enhance learning.",63,74,62,60,60,50,0,0,0,0,0,0,0,369,,"Learn more about the lottery process for schools at capacity.  - Priority placed on learning in a French-language, culture-rich environment.- Use of a specialist to apply Intensive French strategies to lessons, including the Neuro-linguistic Approach (NLA).- Music is taught by a specialist.- Iris School, students have a personalized digital learning plan which can be accessed by parents.- Very active school council and parents' involvement in the school.- Division II leadership group.- Lunchtime clubs normally include such options as choir, art, drama, intramurals and Dance.- Fun Lunches normally organized by parents once a month.- Kids Come First, a non-profit before and after school care program is located in our building.- Cultural shows/activities, musical productions in both languages to enhance learning.",K-5,4,2,369,Ryan Turner,Laura Hack,Martine Sawatzky
Belfast School,51.0633616,-114.0179006,"1229 17A St NE Calgary, AB T2E 4V4",403-777-6250,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",27,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=27,Belfast School,belfast@cbe.ab.ca,GRADESK-6WARD10AREA3TOTAL ENROLLMENT (As of Sept. 30)207SCHOOL PRINCIPALMeagan LundgrenTRUSTEEMarilyn DennisEDUCATION DIRECTORMelody Pelling,PROGRAMSRegular," | Kindergarten22Grade 121Grade 226Grade 329Grade 446Grade 531Grade 632 | - Fine Arts Instructional Blocks - Visual arts, Musical Theatre, Drama, Dance and Creative Expression- Technology: Macs/Chromebooks/ / Smartboards / ipads- Learning Commons- Artists-in-Residence- Belfast School Council: Established September 1996. Members meet every month.- Large and small whole-school productions and performances- Before/After School Care - Belfast Child Care- Outdoor Learning Classroom- School Patrols",22,21,26,29,46,31,32,0,0,0,0,0,0,207,,"- Fine Arts Instructional Blocks - Visual arts, Musical Theatre, Drama, Dance and Creative Expression- Technology: Macs/Chromebooks/ / Smartboards / ipads- Learning Commons- Artists-in-Residence- Belfast School Council: Established September 1996. Members meet every month.- Large and small whole-school productions and performances- Before/After School Care - Belfast Child Care- Outdoor Learning Classroom- School Patrols",K-6,10,3,207,Meagan Lundgren,Marilyn Dennis,Melody Pelling
Brentwood School,51.0903896,-114.1238846,"1231 Northmount Dr NW Calgary, AB T2L 0C9",403-777-6130,"Traditional Learning Centre (TLC) (K-6) (Grades: ,0,1,2,3,4,5,6,)",",6,",28,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=28,Brentwood School,Brentwood@cbe.ab.ca,GRADESK-6WARD4AREA1TOTAL ENROLLMENT (As of Sept. 30)780SCHOOL PRINCIPALRudy SteinTRUSTEELaura HackEDUCATION DIRECTORAubrey Fletcher,PROGRAMSTraditional Learning Centre (TLC),"Learn more about the lottery process for schools at capacity. | Kindergarten125Grade 1124Grade 2121Grade 3106Grade 4101Grade 598Grade 6105 | - Traditional Learning Centre program for Kindergarten to grade 6- Whole group direct instruction focused on academic rigor, critical thinking, and the development of rich literacy and numeracy skills-A personalized learning environment where each child's strengths and areas for growth are deeply understood- Strong daily Character Education program- Full-time music and physical education & wellness specialists- Numerous field trips, artists-in-residence, and enhanced in-school programming- Rich collection of technology- An active school council sponsors many student activities",125,124,121,106,101,98,105,0,0,0,0,0,0,780,,"Learn more about the lottery process for schools at capacity.  - Traditional Learning Centre program for Kindergarten to grade 6- Whole group direct instruction focused on academic rigor, critical thinking, and the development of rich literacy and numeracy skills-A personalized learning environment where each child's strengths and areas for growth are deeply understood- Strong daily Character Education program- Full-time music and physical education & wellness specialists- Numerous field trips, artists-in-residence, and enhanced in-school programming- Rich collection of technology- An active school council sponsors many student activities",K-6,4,1,780,Rudy Stein,Laura Hack,Aubrey Fletcher
Briar Hill School,51.0631192,-114.1115663,"1233 21 St NW Calgary, AB T2N 2L8",403-777-6140,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",29,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=29,Briar Hill School,BriarHill@cbe.ab.ca,GRADESK-6WARD7AREA7TOTAL ENROLLMENT (As of Sept. 30)223SCHOOL PRINCIPALElan La MontagneTRUSTEEPatricia BolgerEDUCATION DIRECTORGarry Tink,PROGRAMSRegular," | Kindergarten31Grade 133Grade 233Grade 329Grade 431Grade 535Grade 631 | Briar Hill School is a dynamic, community-oriented K-6 school located in the NWCalgary area of Hounsfield Heights Briar Hill. The school was built in 1954 and is situatedon 3.6 acres. Students living in this community are designated to Briar Hill School. Studentswho reside in the neighbourhood of St. Andrews Heights have the option to attend theschool as well. Students transitioning to Grade 7 who live in our designated area attend Queen Elizabeth High School.At Briar Hill School, we focus on personalizing the learning experience so that each student is engaged, inspired and learning to their full potential. Through our School Development Plan and daily work with students, we emphasize the development of strong Literacy and Mathematics skills.",31,33,33,29,31,35,31,0,0,0,0,0,0,223,,"Briar Hill School is a dynamic, community-oriented K-6 school located in the NWCalgary area of Hounsfield Heights Briar Hill. The school was built in 1954 and is situatedon 3.6 acres. Students living in this community are designated to Briar Hill School. Studentswho reside in the neighbourhood of St. Andrews Heights have the option to attend theschool as well. Students transitioning to Grade 7 who live in our designated area attend Queen Elizabeth High School.At Briar Hill School, we focus on personalizing the learning experience so that each student is engaged, inspired and learning to their full potential. Through our School Development Plan and daily work with students, we emphasize the development of strong Literacy and Mathematics skills.",K-6,7,7,223,Elan La Montagne,Patricia Bolger,Garry Tink
Buchanan School,51.085633,-114.062755,"3717 Centre St NW Calgary, AB T2E 2Y2",403-777-6260,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",30,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=30,Buchanan School,Buchanan@cbe.ab.ca,GRADESK-6WARD4AREA2TOTAL ENROLLMENT (As of Sept. 30)179SCHOOL PRINCIPALRobin PhillipsTRUSTEELaura HackEDUCATION DIRECTORTori Healing,PROGRAMSRegular," | Kindergarten26Grade 127Grade 224Grade 323Grade 421Grade 527Grade 631 | - Buchanan has an excellent student-centered academic program.- The small school environment enables students to frequently interact with others of all ages.- Staff, students and parents work together to model and foster good citizenship qualities.- The parent community is highly involved and supportive of the school.- A school resource team has a strong commitment to meeting the individual needs of every student.- Some of our partnerships include Brown Bagging for Calgary Kids, Calgary Reads, Calgary Public Library and Breakfast Clubs of Canada.- Community agencies collaborate with staff to meet the needs of our students and their families to promote educational success and to help our students thrive in a diverse society. Community partnerships that the school embraces include: our four neighbouring churches, Bow West, YMCA, Immigrant Services Calgary and Foster's Garden Chapel.",26,27,24,23,21,27,31,0,0,0,0,0,0,179,,"- Buchanan has an excellent student-centered academic program.- The small school environment enables students to frequently interact with others of all ages.- Staff, students and parents work together to model and foster good citizenship qualities.- The parent community is highly involved and supportive of the school.- A school resource team has a strong commitment to meeting the individual needs of every student.- Some of our partnerships include Brown Bagging for Calgary Kids, Calgary Reads, Calgary Public Library and Breakfast Clubs of Canada.- Community agencies collaborate with staff to meet the needs of our students and their families to promote educational success and to help our students thrive in a diverse society. Community partnerships that the school embraces include: our four neighbouring churches, Bow West, YMCA, Immigrant Services Calgary and Foster's Garden Chapel.",K-6,4,2,179,Robin Phillips,Laura Hack,Tori Healing
Cambrian Heights School,51.0854727,-114.0884159,"640 Northmount Dr NW Calgary, AB T2K 3J5",403-777-6150,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",31,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=31,Cambrian Heights School,CambrianHeights@cbe.ab.ca,GRADESK-6WARD4AREA2TOTAL ENROLLMENT (As of Sept. 30)372SCHOOL PRINCIPALTodd WebberTRUSTEELaura HackEDUCATION DIRECTORMartine Sawatzky,PROGRAMSRegular,"Apr. 18, 2023 | Notice Regarding Overflow Designation for Cambrian Heights SchoolJan. 18, 2023 | Notice Regarding School Overflow Designation for Simon Fraser SchoolOct. 28, 2022 | Notice Regarding Designation for Students Residing in the Carrington and Coventry HillsJune 22, 2022 | Notice Regarding School Designation for Students Residing in CarringtonDec. 13, 2017 | Notice Regarding Overflow Designation for Evanston Students | Kindergarten35Grade 167Grade 257Grade 361Grade 471Grade 538Grade 643 | Cambrian Heights is a vibrant, engaging learning environment with a committed focus on literacy and numeracy for all students. Building community includes inviting families to join us for special events such as the Welcome Back Dance, learning celebrations and concerts. We encourage and welcome volunteers into our school. We are a respectful and inclusive community with a strong School Council and Fundraising Society. In addition to our Regular Program, we are home to Area 2 Bridges and Paced Learning Programs.Our School Development Plan is focused on Writing, Number, and Well-being through self-regulation strategies and positive social interactions.Our teachers stay current in their pedagogy and create rich relevant cross-curricular tasks that are captured on our learning documentation boards. Co-teaching of blended grades offers our students the most opportunities to connect with the adults in the school.We always look forward to connecting with parents and hearing ideas about how Cambrian Heights School can be the best learning environment, leading to success for all our students.",35,67,57,61,71,38,43,0,0,0,0,0,0,372,"Apr. 18, 2023 | Notice Regarding Overflow Designation for Cambrian Heights SchoolJan. 18, 2023 | Notice Regarding School Overflow Designation for Simon Fraser SchoolOct. 28, 2022 | Notice Regarding Designation for Students Residing in the Carrington and Coventry HillsJune 22, 2022 | Notice Regarding School Designation for Students Residing in CarringtonDec. 13, 2017 | Notice Regarding Overflow Designation for Evanston Students | Kindergarten35Grade 167Grade 257Grade 361Grade 471Grade 538Grade 643 | Cambrian Heights is a vibrant, engaging learning environment with a committed focus on literacy and numeracy for all students. Building community includes inviting families to join us for special events such as the Welcome Back Dance, learning celebrations and concerts. We encourage and welcome volunteers into our school. We are a respectful and inclusive community with a strong School Council and Fundraising Society. In addition to our Regular Program, we are home to Area 2 Bridges and Paced Learning Programs.Our School Development Plan is focused on Writing, Number, and Well-being through self-regulation strategies and positive social interactions.Our teachers stay current in their pedagogy and create rich relevant cross-curricular tasks that are captured on our learning documentation boards. Co-teaching of blended grades offers our students the most opportunities to connect with the adults in the school.We always look forward to connecting with parents and hearing ideas about how Cambrian Heights School can be the best learning environment, leading to success for all our students.",,K-6,4,2,372,Todd Webber,Laura Hack,Martine Sawatzky
Capitol Hill School,51.0719454,-114.1039376,"2210 18 St NW Calgary, AB T2M 3T4",403-777-6160,"Regular (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,",32,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=32,Capitol Hill School,CapitolHill@cbe.ab.ca,GRADESK-6WARD7AREA2TOTAL ENROLLMENT (As of Sept. 30)353SCHOOL PRINCIPALAdam EakinsTRUSTEEPatricia BolgerEDUCATION DIRECTORMartine Sawatzky,PROGRAMSRegular,| Kindergarten37Grade 143Grade 251Grade 355Grade 450Grade 547Grade 670 | - Curriculum Breadth- Diverse Opportunities- Parent Involvement- Student Leadership- Learning Communities.- Learning Through the Arts- Academic Excellence.- Inquiry Learning- Links with the University of Calgary- Citizenship- Adventurers Program- CBE Operated Lunchroom Program,37,43,51,55,50,47,70,0,0,0,0,0,0,353,,- Curriculum Breadth- Diverse Opportunities- Parent Involvement- Student Leadership- Learning Communities.- Learning Through the Arts- Academic Excellence.- Inquiry Learning- Links with the University of Calgary- Citizenship- Adventurers Program- CBE Operated Lunchroom Program,K-6,7,2,353,Adam Eakins,Patricia Bolger,Martine Sawatzky
Captain John Palliser School,51.0966035,-114.1363867,"1484 Northmount Dr NW Calgary, AB T2L 0G6",403-777-6170,"Regular (K-4) (Grades: ,0,1,2,3,4,), Regular (5-6) (Grades: ,5,6,), Montessori (K-6) (Grades: ,0,1,2,3,4,5,6,)",",1,1,14,",33,",0,1,2,3,4,5,6,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=33,Captain John Palliser School,CaptainJohnPalliser@cbe.ab.ca,GRADESK-6WARD4AREA1TOTAL ENROLLMENT (As of Sept. 30)592SCHOOL PRINCIPALOliver FisherTRUSTEELaura HackEDUCATION DIRECTORAubrey Fletcher,PROGRAMSRegularRegularMontessori,"Jan. 16, 2024 | Update on Overflow Designation for Tom Baines SchoolDec. 19, 2023 | Notice Regarding Regular Program Changes at Captain John Palliser SchoolNov. 8, 2023 | Notice Regarding Montessori Program Boundary Changes for Killarney School and Captain John Palliser SchoolJune 14, 2023 | SSAP Captain John Palliser School - Balance K to 9 EnrolmentApr. 24, 2023 | Notice Regarding Overflow Designation Changes for Edgemont SchoolLearn more about the lottery process for schools at capacity. | Kindergarten79Grade 179Grade 2101Grade 372Grade 469Grade 599Grade 693 | - Montessori Program (Lottery) K - Gr 6- Community Program K - Gr 6  Brentwood, Hamptons (gr 5 & 6) Edgemont overflow- Learning and Literacy Program- Vision Cohort- Located next to the Brentwood Arena, Sir Winston Churchill Pool, and the Nosehill Library- Before/after school care and Kindergarten Enhancement (Tuition based programs)- Wheelchair accessible- Specialists in: Music, PE, French, and Wellness- Robotics, STEAM, Landbased Learning, Art infused education",79,79,101,72,69,99,93,0,0,0,0,0,0,592,"Jan. 16, 2024 | Update on Overflow Designation for Tom Baines SchoolDec. 19, 2023 | Notice Regarding Regular Program Changes at Captain John Palliser SchoolNov. 8, 2023 | Notice Regarding Montessori Program Boundary Changes for Killarney School and Captain John Palliser SchoolJune 14, 2023 | SSAP Captain John Palliser School - Balance K to 9 EnrolmentApr. 24, 2023 | Notice Regarding Overflow Designation Changes for Edgemont SchoolLearn more about the lottery process for schools at capacity. | Kindergarten79Grade 179Grade 2101Grade 372Grade 469Grade 599Grade 693 | - Montessori Program (Lottery) K - Gr 6- Community Program K - Gr 6  Brentwood, Hamptons (gr 5 & 6) Edgemont overflow- Learning and Literacy Program- Vision Cohort- Located next to the Brentwood Arena, Sir Winston Churchill Pool, and the Nosehill Library- Before/after school care and Kindergarten Enhancement (Tuition based programs)- Wheelchair accessible- Specialists in: Music, PE, French, and Wellness- Robotics, STEAM, Landbased Learning, Art infused education",,K-6,4,1,592,Oliver Fisher,Laura Hack,Aubrey Fletcher
Collingwood School,51.0858359,-114.1037192,"3826 Collingwood Dr NW Calgary, AB T2L 0R6",403-777-6180,"Spanish Bilingual (K-5) (Grades: ,0,1,2,3,4,5,)",",2,",34,",0,1,2,3,4,5,",https://cbe.ab.ca/schools/school-directory/_layouts/15/cbe.service.spm/viewprofile.aspx?id=34,Collingwood School,Collingwood@cbe.ab.ca,GRADESK-5WARD4AREA2TOTAL ENROLLMENT (As of Sept. 30)482SCHOOL PRINCIPALDan DornanTRUSTEELaura HackEDUCATION DIRECTORMartine Sawatzky,PROGRAMSSpanish Bilingual,| Kindergarten86Grade 189Grade 280Grade 383Grade 474Grade 570 | - International Spanish Academy.- Provides regular physical education classes and participates in school-wide swimming programs.- Active school council and involvement of parents.- Comprehensive extra-curricular program.- Spanish for parents courses by Chinook Learning Services- International/global outlook- Annual special events and activities- Minimum of 2 visiting teachers from Spain in each school year- Bus receiver school with lunchroom program,86,89,80,83,74,70,0,0,0,0,0,0,0,482,,- International Spanish Academy.- Provides regular physical education classes and participates in school-wide swimming programs.- Active school council and involvement of parents.- Comprehensive extra-curricular program.- Spanish for parents courses by Chinook Learning Services- International/global outlook- Annual special events and activities- Minimum of 2 visiting teachers from Spain in each school year- Bus receiver school with lunchroom program,K-5,4,2,482,Dan Dornan,Laura Hack,Martine Sawatzky
